i,t,m,0
1671-001-01,2020-21,Dar Es Salaam,34473.05775756518
1691-001-01,2020-21,Dar Es Salaam,43177.35140274373
1703-001-01,2020-21,Dar Es Salaam,31543.701862681017
1733-001-01,2020-21,Dar Es Salaam,28968.867897984226
1744-001-01,2020-21,Dar Es Salaam,33843.69976917695
1766-001-01,2020-21,Dar Es Salaam,120464.54274266008
1785-001-02,2020-21,Mainland Rural,29983.21973130306
1799-001-01,2020-21,Mainland Rural,36564.24993701748
1821-001-01,2020-21,Mainland Other Urban,36154.887302721494
1842-001-01,2020-21,Mainland Rural,19423.304623143347
1862-001-01,2020-21,Mainland Rural,37358.8316867169
1880-001-01,2020-21,Mainland Rural,35587.8668310819
1896-001-01,2020-21,Mainland Rural,43700.48793045708
1916-001-01,2020-21,Mainland Other Urban,18322.87896721727
1935-001-01,2020-21,Mainland Rural,32320.189824857116
1952-001-02,2020-21,Mainland Rural,27559.211431201566
1974-001-01,2020-21,Mainland Rural,29313.631692962623
1992-001-01,2020-21,Mainland Other Urban,36305.706114595814
2011-001-01,2020-21,Mainland Rural,37086.891879645176
2051-001-01,2020-21,Mainland Rural,27951.484605582897
2067-001-01,2020-21,Mainland Rural,597609.5113659152
2102-001-01,2020-21,Mainland Rural,36082.070386771666
2147-001-01,2020-21,Mainland Rural,152413.8674689778
2166-001-01,2020-21,Mainland Rural,36010.093922279346
2185-001-01,2020-21,Mainland Rural,65766.25378697565
2218-001-01,2020-21,Mainland Rural,33396.01314445649
2235-001-01,2020-21,Mainland Rural,38854.56785429313
2257-001-01,2020-21,Mainland Rural,47260.78156123576
2280-001-01,2020-21,Zanzibar,71890.54645717786
2292-001-02,2020-21,Zanzibar,69304.11550732405
2311-001-01,2020-21,Zanzibar,95652.6607989367
2330-001-01,2020-21,Zanzibar,53529.82802579927
2353-001-01,2020-21,Zanzibar,70291.51635910315
2375-001-01,2020-21,Zanzibar,23298.95612267603
2389-001-02,2020-21,Zanzibar,44876.811873183105
2407-001-01,2020-21,Zanzibar,42489.96317638771
2427-001-01,2020-21,Zanzibar,76085.28812592049
2444-001-01,2020-21,Mainland Other Urban,31536.390557076364
2467-001-02,2020-21,Mainland Rural,61522.90790058082
2484-001-01,2020-21,Mainland Rural,30407.431735098548
2524-001-01,2020-21,Mainland Rural,67115.08516471609
2545-001-01,2020-21,Mainland Other Urban,48292.62179575604
2563-001-01,2020-21,Mainland Rural,17197.83171553662
2601-001-01,2020-21,Mainland Rural,29820.260475157305
2620-001-01,2020-21,Mainland Rural,40561.940703963344
2637-001-01,2020-21,Mainland Rural,24456.823315902177
2654-001-01,2020-21,Mainland Other Urban,72544.78001736083
2675-001-01,2020-21,Mainland Rural,38426.92286605142
2691-001-02,2020-21,Mainland Rural,36091.45889590867
2717-001-01,2020-21,Mainland Rural,27066.829119622642
2755-001-01,2020-21,Zanzibar,40914.43570951105
2770-001-01,2020-21,Zanzibar,48252.684881510926
2789-001-01,2020-21,Zanzibar,40031.07984111562
2826-001-01,2020-21,Zanzibar,32225.517854635946
2845-001-01,2020-21,Mainland Rural,16053.859259748544
2865-001-02,2020-21,Mainland Other Urban,19550.628228499743
2882-001-01,2020-21,Mainland Rural,39801.333576763944
2906-001-01,2020-21,Mainland Rural,20789.95476492204
2919-001-01,2020-21,Mainland Rural,17004.397512753152
2939-001-01,2020-21,Mainland Rural,24296.618384132034
2963-001-01,2020-21,Mainland Rural,19022.823363804437
3020-001-01,2020-21,Mainland Rural,58694.37924054944
3037-001-01,2020-21,Mainland Rural,19441.102889690344
3057-001-01,2020-21,Mainland Other Urban,31358.602922260692
3074-001-01,2020-21,Mainland Rural,59114.045207027455
3112-001-01,2020-21,Mainland Rural,13449.222598523684
3128-001-01,2020-21,Mainland Rural,33937.169332491154
3151-001-02,2020-21,Mainland Other Urban,37516.2357670718
3186-001-01,2020-21,Mainland Rural,30567.962203214076
3206-001-01,2020-21,Mainland Rural,31504.941372773555
3226-001-02,2020-21,Mainland Rural,32290.813937892835
3248-001-01,2020-21,Mainland Other Urban,41563.059209318475
3262-001-01,2020-21,Mainland Rural,35051.639438021695
3286-001-01,2020-21,Zanzibar,54309.28682195865
3325-001-01,2020-21,Zanzibar,83568.08419409407
3339-001-01,2020-21,Zanzibar,77279.61712990263
3364-001-01,2020-21,Zanzibar,58993.191845037996
3378-001-01,2020-21,Zanzibar,18765.48827641601
3399-001-01,2020-21,Zanzibar,67273.81872138458
3435-001-01,2020-21,Zanzibar,64927.74362859753
3462-001-01,2020-21,Zanzibar,43018.83414592266
3474-001-01,2020-21,Zanzibar,49171.806756075806
3490-001-01,2020-21,Zanzibar,52569.642416344475
3527-001-01,2020-21,Zanzibar,44559.07020060293
3549-001-01,2020-21,Zanzibar,57478.897828161236
3565-001-01,2020-21,Zanzibar,39173.08441412721
3588-001-01,2020-21,Zanzibar,84588.9896168879
3606-001-01,2020-21,Mainland Rural,29022.811654444427
3622-001-01,2020-21,Mainland Other Urban,38058.43536025292
3644-001-01,2020-21,Mainland Rural,77414.06666034275
3665-001-01,2020-21,Mainland Rural,33047.70460158737
3687-001-01,2020-21,Mainland Other Urban,43579.1213022959
3698-001-01,2020-21,Mainland Other Urban,44407.13342405468
3717-001-01,2020-21,Mainland Rural,37849.61104614278
3740-001-01,2020-21,Mainland Rural,68432.82352438898
3756-001-01,2020-21,Mainland Rural,32712.057998687644
3779-001-02,2020-21,Mainland Rural,16770.320490488342
3799-001-01,2020-21,Mainland Rural,15934.241814257055
3819-001-01,2020-21,Mainland Other Urban,17313.98247383631
3838-001-01,2020-21,Mainland Rural,21934.177274868653
3852-001-01,2020-21,Mainland Rural,32132.054917863923
3890-001-01,2020-21,Mainland Rural,31324.72796122064
3911-001-01,2020-21,Mainland Other Urban,27687.52359721014
3948-001-01,2020-21,Mainland Rural,46258.54634553534
3985-001-01,2020-21,Mainland Other Urban,79720.8337638252
4006-001-01,2020-21,Mainland Rural,42236.48752715777
4025-001-01,2020-21,Mainland Rural,29786.465797940535
4044-001-01,2020-21,Mainland Rural,15311.794458043152
4064-001-01,2020-21,Mainland Other Urban,28724.136378917767
4081-001-01,2020-21,Mainland Rural,31877.619023937434
4101-001-01,2020-21,Mainland Other Urban,15399.521061129024
4122-001-01,2020-21,Mainland Rural,18129.039384050477
4156-001-03,2020-21,Mainland Rural,19938.86658903961
4175-001-01,2020-21,Mainland Other Urban,28291.993119195347
4200-001-01,2020-21,Mainland Rural,48444.88942283913
4238-001-01,2020-21,Mainland Other Urban,23681.275910303026
4255-001-01,2020-21,Mainland Rural,18914.75857067726
4293-001-01,2020-21,Mainland Other Urban,27504.144379172147
4310-001-02,2020-21,Mainland Rural,29356.055835098003
4325-001-01,2020-21,Mainland Rural,61978.42597889576
4347-001-01,2020-21,Mainland Other Urban,33835.97178779609
4366-001-02,2020-21,Mainland Rural,42242.53533688202
4386-001-02,2020-21,Mainland Rural,32927.432474977715
4406-001-01,2020-21,Mainland Other Urban,23897.253965617067
4423-001-01,2020-21,Mainland Rural,42024.98167668894
4446-001-01,2020-21,Mainland Rural,63271.594963660165
4462-001-01,2020-21,Mainland Rural,51208.83923473751
4484-001-01,2020-21,Mainland Rural,43261.69895558114
4496-001-01,2020-21,Mainland Rural,29869.523493079705
4516-001-01,2020-21,Mainland Rural,44365.77075282152
4538-001-01,2020-21,Mainland Rural,36862.36491126745
4613-001-01,2020-21,Mainland Rural,23614.276877212505
4633-001-01,2020-21,Mainland Rural,91303.33973349704
4655-001-01,2020-21,Mainland Rural,104783.71105539882
4669-001-01,2020-21,Mainland Rural,21859.20205168695
4693-001-01,2020-21,Mainland Other Urban,70705.51981857172
4748-001-01,2020-21,Mainland Rural,38097.01272175659
4764-001-04,2020-21,Mainland Rural,33587.41253815977
4789-001-01,2020-21,Mainland Rural,28948.753719647717
4800-001-01,2020-21,Mainland Rural,86932.07143825146
4825-001-01,2020-21,Mainland Rural,67546.35092544623
4845-001-01,2020-21,Mainland Rural,41720.28173117527
4858-001-01,2020-21,Mainland Other Urban,46789.53959252895
4883-001-01,2020-21,Mainland Rural,52744.56151146091
4900-001-01,2020-21,Mainland Rural,28775.53784871384
4918-001-01,2020-21,Mainland Rural,20807.855140722
4937-001-01,2020-21,Mainland Rural,52228.15707663369
4994-001-01,2020-21,Mainland Rural,53078.24530315821
5016-001-01,2020-21,Mainland Rural,33848.331025968175
5047-001-01,2020-21,Mainland Other Urban,36527.8034538326
5068-001-01,2020-21,Mainland Rural,49115.78723083228
5091-001-01,2020-21,Mainland Rural,38760.59546619216
5111-001-01,2020-21,Dar Es Salaam,26654.41975925539
5144-001-01,2020-21,Dar Es Salaam,30538.711069867364
5170-001-01,2020-21,Dar Es Salaam,26896.9958821294
5182-001-01,2020-21,Dar Es Salaam,55658.84976552026
5224-001-02,2020-21,Dar Es Salaam,19125.570120399956
5240-001-01,2020-21,Dar Es Salaam,34246.50893991114
5263-001-01,2020-21,Dar Es Salaam,38306.00631554539
5283-001-01,2020-21,Dar Es Salaam,57131.70121477424
5303-001-01,2020-21,Dar Es Salaam,21118.905439455957
5351-001-02,2020-21,Dar Es Salaam,31585.01778482608
5373-001-01,2020-21,Dar Es Salaam,41037.18680946517
5397-001-01,2020-21,Dar Es Salaam,34113.75313532418
5412-001-01,2020-21,Dar Es Salaam,29705.46521696152
5427-001-01,2020-21,Dar Es Salaam,45879.88021591973
5451-001-01,2020-21,Dar Es Salaam,13849.955264569888
5469-001-01,2020-21,Dar Es Salaam,28035.272074401888
5487-001-01,2020-21,Dar Es Salaam,75296.0034385003
5550-001-01,2020-21,Dar Es Salaam,42403.415096435776
5564-001-01,2020-21,Dar Es Salaam,79943.35374067722
5602-001-01,2020-21,Dar Es Salaam,28212.52608145185
5623-001-01,2020-21,Dar Es Salaam,56447.09634282958
5655-001-01,2020-21,Dar Es Salaam,36515.91421006517
5680-001-01,2020-21,Dar Es Salaam,22049.02666829023
5697-001-01,2020-21,Dar Es Salaam,14673.587359201652
5715-001-02,2020-21,Dar Es Salaam,20345.631696045693
5734-001-01,2020-21,Dar Es Salaam,29262.357364124164
5759-001-01,2020-21,Dar Es Salaam,40545.446710378
5775-001-01,2020-21,Mainland Rural,22996.241873286
5793-001-02,2020-21,Mainland Rural,35775.691440673305
5808-001-01,2020-21,Mainland Other Urban,29735.40757831122
5829-001-01,2020-21,Mainland Rural,37921.38417443436
5852-001-01,2020-21,Mainland Rural,46666.474127067755
5871-001-02,2020-21,Mainland Rural,82234.38581364075
5886-001-01,2020-21,Mainland Rural,58294.75468843573
5911-001-01,2020-21,Mainland Rural,57921.39552900136
5947-001-01,2020-21,Mainland Rural,15565.762854815626
5966-001-01,2020-21,Mainland Rural,35317.4211733376
6016-001-02,2020-21,Mainland Other Urban,34105.48069734712
6040-001-01,2020-21,Mainland Rural,38662.610584930444
6061-001-02,2020-21,Mainland Other Urban,31398.133034191702
6095-001-01,2020-21,Mainland Rural,61939.880142395334
6111-001-02,2020-21,Mainland Rural,21709.88348975348
6134-001-01,2020-21,Mainland Rural,32651.981533987426
6155-001-01,2020-21,Mainland Rural,45496.08643237427
6212-001-02,2020-21,Mainland Rural,56443.79115514168
6229-001-01,2020-21,Mainland Other Urban,34735.09805208297
6247-001-01,2020-21,Mainland Rural,86912.9241019961
6269-001-01,2020-21,Mainland Rural,39249.99629392547
6284-001-02,2020-21,Zanzibar,68945.24324297796
6301-001-02,2020-21,Zanzibar,43449.917585423405
6326-001-01,2020-21,Zanzibar,33556.3860501762
6345-001-01,2020-21,Zanzibar,69453.23577556599
6360-001-01,2020-21,Zanzibar,52413.3416046522
6383-001-01,2020-21,Zanzibar,34458.669989943395
6398-001-01,2020-21,Zanzibar,49625.57151833475
6441-001-01,2020-21,Mainland Other Urban,43189.2722895095
6456-001-01,2020-21,Mainland Rural,32365.271285305895
6472-001-01,2020-21,Mainland Rural,26087.436001860086
6497-001-01,2020-21,Mainland Rural,23324.252559836335
6514-001-02,2020-21,Mainland Rural,41471.64377610489
6534-001-01,2020-21,Mainland Rural,38869.05476074442
6554-001-01,2020-21,Mainland Other Urban,26164.35406213916
6568-001-01,2020-21,Mainland Rural,166106.63605896512
6609-001-01,2020-21,Mainland Rural,31267.17574218704
6625-001-01,2020-21,Mainland Other Urban,30341.77232706954
6648-001-03,2020-21,Mainland Rural,25412.182431222725
6682-001-01,2020-21,Mainland Rural,15438.547292712454
6705-001-01,2020-21,Mainland Rural,60212.1238360681
6720-001-01,2020-21,Mainland Rural,42571.88137739585
6741-001-01,2020-21,Mainland Rural,63079.4181072271
6795-001-01,2020-21,Mainland Rural,52461.86496109265
6821-001-02,2020-21,Zanzibar,45878.04682910165
6838-001-01,2020-21,Zanzibar,40575.596153005616
6857-001-01,2020-21,Zanzibar,22886.61069648845
6895-001-01,2020-21,Zanzibar,80872.66274059926
6934-001-01,2020-21,Mainland Rural,18430.450888997406
6952-001-01,2020-21,Mainland Rural,41961.569450470764
6970-001-01,2020-21,Mainland Rural,39232.59505723752
6987-001-01,2020-21,Mainland Rural,38931.187510899596
7007-001-01,2020-21,Mainland Other Urban,43736.0779005981
7028-001-01,2020-21,Mainland Rural,47990.0997019183
7048-001-01,2020-21,Mainland Rural,18022.77887291628
7087-001-01,2020-21,Mainland Other Urban,44845.836333436964
7103-001-01,2020-21,Mainland Rural,11528.404276300924
7118-001-01,2020-21,Mainland Rural,45748.52485912354
7139-001-01,2020-21,Mainland Other Urban,21924.3767092321
7185-001-01,2020-21,Mainland Rural,65108.49323255371
7198-001-01,2020-21,Mainland Rural,46332.67538913694
7219-001-01,2020-21,Mainland Rural,47022.28778935544
7237-001-01,2020-21,Mainland Rural,32806.242214189486
7253-001-01,2020-21,Mainland Rural,35866.619530126234
7272-001-01,2020-21,Mainland Rural,39377.527520042095
7295-001-01,2020-21,Mainland Other Urban,34341.305401997975
7315-001-02,2020-21,Zanzibar,38488.49470293363
7353-001-01,2020-21,Zanzibar,42492.819769914466
7365-001-01,2020-21,Zanzibar,59983.62868074286
7391-001-01,2020-21,Zanzibar,47541.336915166656
7405-001-01,2020-21,Zanzibar,85010.33489918856
7441-001-01,2020-21,Zanzibar,43233.14404281273
7460-001-01,2020-21,Zanzibar,79641.03635538835
7479-001-02,2020-21,Zanzibar,63354.68848066108
7523-001-01,2020-21,Zanzibar,71848.67822087172
7542-001-01,2020-21,Zanzibar,59409.10196815169
7562-001-01,2020-21,Zanzibar,46768.006460767436
7578-001-02,2020-21,Zanzibar,43811.20409351677
7600-001-01,2020-21,Zanzibar,49657.00762526403
7633-001-01,2020-21,Mainland Rural,21599.49559111567
7675-001-01,2020-21,Mainland Other Urban,106949.92401898584
7695-001-01,2020-21,Mainland Rural,45067.239451185655
7710-001-02,2020-21,Mainland Other Urban,22967.879080957337
7729-001-01,2020-21,Mainland Rural,27934.83589324627
7745-001-02,2020-21,Mainland Other Urban,25572.128461834873
7786-001-01,2020-21,Mainland Rural,21777.749885273774
7802-001-01,2020-21,Mainland Rural,53909.029064015616
7822-001-01,2020-21,Mainland Rural,51477.7884857333
7881-001-01,2020-21,Mainland Other Urban,30079.60546547728
7904-001-01,2020-21,Mainland Rural,24835.745296205183
7918-001-01,2020-21,Mainland Rural,74079.43381424213
7936-001-01,2020-21,Mainland Rural,59624.21220597229
7958-001-01,2020-21,Mainland Other Urban,68671.71360493115
7979-001-01,2020-21,Mainland Rural,63781.3409070252
7998-001-01,2020-21,Mainland Other Urban,53978.93451122444
8014-001-01,2020-21,Mainland Rural,96406.1554391794
8030-001-01,2020-21,Mainland Rural,18937.617951320266
8068-001-02,2020-21,Mainland Rural,50983.19660268825
8090-001-01,2020-21,Mainland Rural,22262.068895989123
8108-001-01,2020-21,Mainland Rural,36495.27816740492
8131-001-01,2020-21,Mainland Other Urban,11112.14486187756
8146-001-01,2020-21,Mainland Other Urban,57307.69907445469
8173-001-01,2020-21,Mainland Rural,35051.87798075837
8182-001-01,2020-21,Mainland Rural,43101.047296722936
8243-001-02,2020-21,Mainland Other Urban,13057.401975642322
8262-001-01,2020-21,Mainland Rural,18159.13808066462
8285-001-01,2020-21,Mainland Rural,22166.54653999771
8300-001-01,2020-21,Mainland Other Urban,15704.111283657994
8318-001-01,2020-21,Mainland Other Urban,39937.87940894634
8340-001-01,2020-21,Mainland Rural,44940.8097733092
8359-001-01,2020-21,Mainland Rural,58747.619863592474
8417-001-01,2020-21,Mainland Rural,185134.95793461785
8430-001-02,2020-21,Mainland Rural,188434.4306659267
8452-001-01,2020-21,Mainland Rural,27748.47191777593
8487-001-01,2020-21,Mainland Rural,117358.83637466637
8506-001-01,2020-21,Mainland Rural,132477.04251419974
8526-001-01,2020-21,Mainland Rural,79931.61993500628
8549-001-01,2020-21,Mainland Rural,82015.29361880213
8569-001-01,2020-21,Mainland Rural,104249.42574593348
8583-001-01,2020-21,Mainland Rural,41987.81149715725
8602-001-01,2020-21,Mainland Other Urban,32511.885110062773
8623-001-01,2020-21,Mainland Rural,46145.47102933015
8645-001-01,2020-21,Mainland Other Urban,85282.33336697698
8659-001-01,2020-21,Mainland Rural,42249.89863279492
8683-001-01,2020-21,Mainland Rural,48967.44027099926
8695-001-01,2020-21,Mainland Rural,101827.90162125557
8718-001-01,2020-21,Mainland Rural,103684.36700406038
8759-001-01,2020-21,Mainland Rural,22600.514968199477
8777-001-01,2020-21,Mainland Rural,31966.225369605414
8816-001-01,2020-21,Mainland Rural,40197.87494069006
8830-001-01,2020-21,Mainland Rural,16935.770799756196
8848-001-01,2020-21,Mainland Rural,60669.832034356805
8866-001-01,2020-21,Mainland Rural,32957.675350474805
8923-001-01,2020-21,Mainland Other Urban,85380.4840841703
8942-001-01,2020-21,Mainland Rural,42292.02290184481
8966-001-01,2020-21,Mainland Rural,39419.86682797667
9004-001-99,2020-21,Mainland Other Urban,29362.671168975667
9016-001-99,2020-21,Mainland Other Urban,50044.91229475496
9028-001-99,2020-21,Mainland Other Urban,27400.16649296441
9052-001-99,2020-21,Mainland Other Urban,18259.91142218763
9064-001-99,2020-21,Mainland Other Urban,24662.456258772818
9076-001-99,2020-21,Mainland Other Urban,33804.51707706983
9088-001-99,2020-21,Mainland Other Urban,32867.44614795566
9100-001-99,2020-21,Mainland Other Urban,28045.40020728933
9112-001-99,2020-21,Mainland Other Urban,19477.370880162158
9124-001-99,2020-21,Mainland Other Urban,48233.27252742522
9136-001-99,2020-21,Mainland Other Urban,22961.065423466884
9148-001-99,2020-21,Mainland Other Urban,25286.787238366913
9160-001-99,2020-21,Mainland Other Urban,30548.827197067334
9172-001-99,2020-21,Mainland Other Urban,39261.39293047556
9184-001-99,2020-21,Mainland Other Urban,16959.952354669836
9220-001-99,2020-21,Mainland Other Urban,63685.44983796904
9232-001-99,2020-21,Mainland Other Urban,23841.575530985963
9244-001-99,2020-21,Mainland Other Urban,21670.395715466428
9256-001-99,2020-21,Mainland Other Urban,24885.599364169764
9268-001-99,2020-21,Mainland Other Urban,18168.53061983448
9280-001-99,2020-21,Mainland Other Urban,44710.27034810205
9292-001-99,2020-21,Mainland Other Urban,41571.87691284022
9304-001-99,2020-21,Mainland Other Urban,27994.19874179771
9316-001-99,2020-21,Mainland Other Urban,59935.151508892326
9328-001-99,2020-21,Mainland Other Urban,10658.270348917431
9340-001-99,2020-21,Mainland Other Urban,52564.57755358889
9352-001-99,2020-21,Mainland Other Urban,37281.419434807874
9364-001-99,2020-21,Mainland Other Urban,45721.93976463995
9376-001-99,2020-21,Mainland Other Urban,56915.35394760423
9388-001-99,2020-21,Mainland Other Urban,24149.319522834678
9400-001-99,2020-21,Mainland Other Urban,39695.75118117811
9412-001-99,2020-21,Mainland Other Urban,23934.245170087124
9424-001-99,2020-21,Mainland Other Urban,25859.949414118902
9436-001-99,2020-21,Mainland Other Urban,30634.869615144475
9448-001-99,2020-21,Mainland Other Urban,26963.044278131045
9460-001-99,2020-21,Mainland Other Urban,23066.97115075005
9484-001-99,2020-21,Mainland Other Urban,43788.830723263985
9496-001-99,2020-21,Mainland Other Urban,32469.051707165607
9508-001-99,2020-21,Mainland Other Urban,35869.27572679007
9520-001-99,2020-21,Mainland Other Urban,662369.4187172245
9544-001-99,2020-21,Mainland Other Urban,21370.91146643992
9556-001-99,2020-21,Mainland Other Urban,56985.160839509845
9568-001-99,2020-21,Mainland Other Urban,13618.837442628916
9580-001-99,2020-21,Mainland Other Urban,19340.752824753094
9592-001-99,2020-21,Mainland Other Urban,18807.25304749447
9616-001-99,2020-21,Mainland Other Urban,36134.69572860151
9628-001-99,2020-21,Mainland Other Urban,25075.6264761215
9640-001-99,2020-21,Mainland Other Urban,125775.70063574034
9652-001-99,2020-21,Mainland Other Urban,35349.35412175295
9664-001-99,2020-21,Mainland Other Urban,25873.858838203876
9676-001-99,2020-21,Mainland Other Urban,20032.980046303033
9688-001-99,2020-21,Mainland Other Urban,28020.712046376564
9700-001-99,2020-21,Mainland Other Urban,37369.61045015335
9712-001-99,2020-21,Mainland Other Urban,33987.311296375556
9724-001-99,2020-21,Mainland Other Urban,33150.00414549988
9736-001-99,2020-21,Mainland Other Urban,25274.87816337947
9748-001-99,2020-21,Mainland Other Urban,24725.681178164694
9760-001-99,2020-21,Mainland Other Urban,43650.63657465113
9772-001-99,2020-21,Mainland Other Urban,25653.65691703159
9784-001-99,2020-21,Mainland Other Urban,22114.58750771192
9796-001-99,2020-21,Mainland Other Urban,23586.75303667047
9808-001-99,2020-21,Mainland Other Urban,36815.340962606315
